,text,result
438,waywardhem apple totally agree,Neutral
439,tim_cook therealjonyive iosissues problems apple issues safari want jobs quality control back httptcodi,Negative
440,agiletortoise apple inconsistent app rules maintain plausible deniability sorry hear greg draftsapp,Negative
441,hope apple amp ios allow compact views rd party keyboards like swiftkey swype android,Neutral
442,need apple come charger cord keep charge amp dont fall apart httptcohdbmzlu,Negative
443,apple facebook crush google motley fool aapl fb goog httptcorlriodf,Neutral
444,love apple mobilephone httptcoajvsqxgdn httptcoo,Positive
445,day without access itunes passwd apple working new apps calendar apple ecosystem achilles move google,Negative
446,since steve jobs left world problems macpro apple done httptco,Negative
447,fuck u apple,Negative
448,feed ego futter mein ego iphone tough ca computing amp communication melasdesign httptcop cafepress iphone apple,Neutral
449,god dammit fuck apple,Negative
450,rt ppropp buddies arccosgolf eye level apple store startups ctnext stamfordicenter nice httptcou,Neutral
451,tim_cook happy apple appstore backwards compatibility given apps aperture money grab,Negative
452,apple store th ave httptco,Neutral
453,sfbjeditor things know today including hoarding apple httptcovu,Neutral
454,macrumors kellyhodgkins believe bought amazon fire tv apple youve lost another customer,Negative
455,tmobileiphone lte phone call workaround httptcorctgxbhpjh tmobile apple apple tech smartphone httptcoju,Neutral
456,important differences macs pcs aapl httptcovyx httptcoqpt,Neutral
457,apple sales imac inch updated yosi great family device refurbished é month warranty httptcomxmn,Neutral
458,morgan stanley sells apple inc aapl stock still buy aapl stock news morgan stanley sells apple inc httptcouz,Neutral
459,rt abdinsyakirin apple hey wanna use ifon siks jas follow rizalscandal u get,Neutral
460,emails jobs determined keep ipod appleonly aapl aapl httptcozq,Neutral
461,steve jobs predicted future ecommerce back amp got exactly right httptcoscbh via sai ecommerce aapl,Positive
462,pwilke google apple facebook ughhhh uber see already,Neutral
463,im sick fucking shit apple,Negative
464,eu nice iphone ya got pity something happen httptcor apple applenws iphone_news,Neutral
465,could really kick apple ass iphone battery sucks moldy dick tuesday night worst shit ever last fucking hours,Negative
466,rt unstanningzarry phone keeps fucking freezing apple,Negative
467,mastercard teams gwen stefani promote apple pay priceless surprises httptco aapl,Neutral
468,apple use ur next ad funconvo httptcorjpyqmflwa,Neutral
469,rt republican_priv onerepublic apple take us keep trying forty thousand feet keep flying,Neutral
470,jmp raises apple price target reasons httptcoo jmp aapl stocks wallstreet,Neutral
471,apple patents new reflex drop technology mobile deviceslearn could come handy mobiledose httptcob,Neutral
472,dear apple get shit together,Negative
473,apple pay compuserve btc internet,Neutral
474,loving apple plus even though ive hyperextended thumb reaching top apps thestruggleisreal,Positive
475,could apple inc sell million applewatches motley fool aapl httptco,Neutral
476,apple computer slow,Negative
477,apple apples plus captures christmas white house friday december httptcoexiskmcmv,Neutral
478,apple hiring maps engineer work improved community crowdsourcing siripassbook integration httptco aapl,Neutral
479,first apple employee remarkable odyssey bill fernandez via techrepublic httptcogdymrqw,Neutral
480,aapl companies growing faster applersscnncomrrssmoney_latestindexhtml,Neutral
481,apple fits increase earnings use eps free ios app donkey stocks aapl httpstcocbugrehzs,Neutral
482,jlb phone automatically reason kinda dumb thanks apple,Negative
483,dang phone fuckin sucks fuck apple piece shit iphone man yall disappoint,Negative
484,phone died would let happen apple,Negative
485,apple ibooks awesome thank,Positive
486,case accident stay safe free apple app winnipeg httptcoqt,Neutral
487,dougluberts drakecraytel apple universal problem gb models people think total recall,Negative
488,aaplexchange iphone passport receive httptcoch,Neutral
489,apple verizonsupport support received ipad tonight ridiculous going circles solution smh,Negative
490,updated yosemite two machines painfully slow thanks apple,Negative
491,sacca simplicity hard charge aapl valuable company ipad,Neutral
492,ha poor apple trying make ipad macbook look useful commercials even close power surface pro,Negative
493,jeff daniels talks play former apple ceo john sculley aaron sorkins steve jobs movie mac blog httptcoozaw aapl,Neutral
494,excited named apples app store best list year httptcouf apple,Positive
495,ever going moment yall going fix battery mine goes hour apple,Negative
496,apple dock billion antitrust claim casts stevejobs conspirator aapl httptco,Negative
497,tim cook shows apple watch chinese internet official discusses security issues httptcom aapl,Neutral
498,econsultancy apple customer journey search checkout httpstco cx ux ecommerce casestudy,Neutral
499,make realistic songlength drum track using apple logic pro x drummer httptcozrqc proaudio httptco,Neutral
500,apple verizon fuck phone shouldnt take long,Negative
501,happily apple restored faith today arndale store following earlier complaint,Positive
502,jengolbeck apple introducing iglove apple product allowing one singlehandedly operate iphone,Neutral
503,phone died plug apple hell,Negative
504,aaplapples iphone china unicom leadtimeshttptcohuj,Neutral
505,onerepublic apple hahha apple users problem low batteries,Negative
506,lets go shopping apple httptcoutfuhuojii,Positive
507,jakeflem apple try booting holding command r see disk repair,Neutral
508,steve wozniak apple computer revolution working stevejobs businessweek aapl httptco,Neutral
509,best mobile thats easy works wonderfull thanks apple tim_cook,Positive
510,watch weekends new tv ads radioshack apple httptcopl,Neutral
511,kaitlynpearle apple get android,Neutral
512,rt elnuevoherald steve jobs clave en juicio contra apple httptcoq httptcomahxn,Neutral
513,apple gave huge middle finger face,Negative
514,stevewoz outback good see videos apple ii possible apple related projects exciting,Positive
515,iphone shipping times drop days aapl aapl httptcoee,Neutral
516,lol dying apple httptcoh,Neutral
517,onerepublic studio ft one outlet computers apple need batteries future httptcodilpo,Neutral
518,cnbctv chromecast beats appletv aapl httptcovyszhhu,Negative
519,im learning apple influenster apple httptcockyptdnrtg,Neutral
520,rt mkschuster apple computer slow,Negative
521,cnbctv buy apples pullback httptcoirykvl aapl,Neutral
522,apple please make iflipphone,Neutral
523,rt apple ipod lawsuit reveal unseen steve jobs video httptcoqogbhe,Neutral
524,company playing catchup lost innovation momentum sorry apple httptcojsdeyipnek via tomshardware,Negative
525,knows someone works worked apple cupertino bayarea techies,Neutral
526,apple patents new tech shifts iphones center gravity falls lands minimal damages httptcobpxqdu,Neutral
527,apple dont think close setting alarm iphone many times fallen victim,Negative
528,good time switch apple icloud drive httptcoxdszpusywq,Neutral
529,way stay relevant rt thehill justice department cites th century federal law get apple unlock iphones httptco,Neutral
530,update apples healthkit seeing early adoptions aapl httptcohntoq,Neutral
531,apps apple thgen httptcocrhwdbsxsx httptcozrrq,Neutral
532,losskitty apple always like new products apple,Neutral
533,styiesburn apple dois,Neutral
534,youkantfindme apple kashka clave mind,Neutral
535,us iphone owners used apple pay report httptco,Neutral
536,users complain apple apple front wednesday december httptcous,Negative
537,apple donorschoose bestbuy help reach goal,Neutral
538,nheagy apple needs stop auto arranging home screen allow users position apps wherever want,Negative
539,marxculture appleuk_ apple yeh thinking exactly wanna install decent unix ok hardware amp live happily everafter,Neutral
540,apple everything u,Negative
541,im pissed plugged phone overnight didnt charge fuck u apple,Negative
542,ideas years microchips google walmart apple junk bonds pill singapore make list httptcoobkajdk,Neutral
543,wtf apple synching notes icloud pages unusable used easier,Negative
544,rt dbreeeezy_ u delete contact actually deleted fml fuck u apple,Negative
545,media reports say apple hiring pros fashion retail industry wearabletechnology fashion httptco,Neutral
546,apple isnt otter emoji,Neutral
547,rt jpdesloges apple boost profits holiday quarter beyond aapl aapl httptco,Neutral
548,rt _jamelia_ dude apple marketing beats great marketing team apple,Positive
549,twitter facebook alibabatalk google apple n race win payments whats future payments startups microsave fintechhub,Neutral
550,rt jopocop bloombergtv stevejobs testimony play key role ipod trial httptcovvrrzzmudl aapl,Neutral
551,st quarter rt ms_bianca_bisa mhdadon apple next year,Neutral
552,another fucking software update really apple,Negative
553,_emilymahon apple shut hell,Negative
554,sooooo annoyed restore back lost voice mails needed keep thanks lot apple,Negative
555,apple fix httptcovsgfaqib,Negative
556,apple stevejobs itunesmusic yooo fam hours wheres email back need jcolenc album drops,Negative
557,appledec trading daily profit sh weekly profits sh aapl stockaction trading stocks mkt httptco,Neutral
558,wearabledevices consumers youre putting httptcowsv ibdnews via ibdinvestors aapl nke grmn amba invn,Neutral
559,angelicaxpham look like fucking days apple,Negative
560,sashametro iupdate process incensing rubbish hopefully apple irrelevant soon,Negative
561,apple macbook é httptcoihhonzhm office_nerd apple tech httptcof,Neutral
562,rt frankthepilot get touch screen macbook apple,Neutral
563,mark zuckerberg slams tim cook dont care customers fb aapl httptcohwdmproigt httptcokpmili,Negative
564,check founder gernieb views apple amp facebook eggfreezing benefits female engineers httpstcorcnwru womenintech,Neutral
565,safari crashed didnt tabs open wtf apple,Negative
566,xcode aapl source kit crash swift getting annoying,Negative
567,love phone much thank based god apple,Positive
568,justinbieber apple get,Neutral
569,new apple problem airport boarding pass phone held scanner security applepay credit card takes screen,Negative
570,rt spencerescott apples ipad sales peaked aapl httptcoys,Neutral
571,apple kantars data points huge december quarter aapl aapl httptcoaa,Neutral
572,fuck iphone apple,Negative
573,swiftkey apple bad third party keyboards ios buggy hell therefore completely unusable undeserved,Negative
574,apple fibonacci technicals levels last intraday update aapl aapl httptcoer,Neutral
575,fuck kinda gay shit print fucking ketosis apple,Negative
576,apple apple iphone iphone problems someone fucking help someone works apple fucking help ur job cunts,Negative
577,hate much apple macs,Negative
578,apple inc vs google inc battle tech giants httptcofxtp aapl,Neutral
579,jmp securities thinks apple inc going time sell httptcovgdqhqe aapl,Neutral
580,attention apple free ipads would go faster emails didnt go straight junk folders sortitout,Negative
581,umo_games apple thanks info genius able get computer booted forcing discreet video card boot,Positive
582,apple needs china love applewatch aapl httptcookfm via themotleyfool wearables wearabletech apple,Neutral
583,apple expand retail india opening new stores apple httptcov,Neutral
584,rt horseshoebmore holiday giveaway ensure stay touch go ck brands like apple amazon httptcodjg,Neutral
585,renoxalex apple sick tacobell petitioning one,Neutral
586,promoproduct suppliers carry brandable apple compliant adapters headsaregoingtoroll,Neutral
587,apple ischool httptcoqj education applenws,Neutral
588,displeased lack bdsm themed emojis apple android,Negative
589,every time change keyboards come like wtf apple get shit together httptco,Negative
590,ipod touch case apple thgen httptcop httptcopzazytxpgx,Neutral
591,rt pambesteder teamcavuto apple point anger simply manifestation stupid,Negative
592,sashametro mayhembcn apple happy helpif u use kind words using apple process free fast httptcoqqgqokjaxe dm,Positive
593,said dont talk politics cant take anymr ill still post cisco apple others need change,Neutral
594,still cant merge multiple appleids apple fail httptcop,Negative
595,jmp raises apple price target streethigh exceptionally strong apple insider aapl httptcore,Neutral
596,definitely think carefully future buying something itunes apple support cant even tell whats going wrong,Negative
597,time buy dip apple inc stock httptcowzolp aapl,Neutral
598,yall chargers weak yall needa make iphone charger otterboxes cord apple,Negative
599,juicy_potato apple tbh annoyed apples shit moment,Negative
600,ipad playing disgusting music cannot make stop help apple,Negative
601,apple howwhy ical undo months entries related recurring date entries reset pay cc changed amnt,Negative
602,apple suck,Negative
603,new technogym treadmills getting assembled could better apple carplay compatible httptcouk,Neutral
604,apple greatservice thanks helping sylvester,Positive
605,disgusted apple advertising ipad air falseadvertising nono,Negative
606,w_talk well dey need one get apple,Neutral
607,typo launches new iphone keyboard avoiding previous blackberry lawsuit ios blog httptconbvaax aapl,Neutral
608,apple fuck yo shit,Negative
609,russia could ban apple inc iphone lawmakers valuewalk httptconcbgr aapl tech reverse security reasons,Neutral
610,steve wozniak star upcoming reality tv show focusing futuristic tech mac blog httptco aapl,Neutral
611,like app costs money let download apple,Negative
612,rt huffpostgay apple ceo time cook gets unique honor home state alabama httptcol,Neutral
613,apple yh news apples antitrust lawsuit may plaintiffs lawyer suing apple antitrust may httptcosi,Neutral
614,android chargers years amp theyre still top tier please keep apple,Negative
615,rt bigblindz blackberry wants iphone pay httptcoydpqjkkfvm bbry bbry blackberry iphone aapl aapl,Neutral
616,apple important stock earth httptcodagg aapl httptcoepoomhl,Neutral
617,teamcavuto justinraimondo apple,Neutral
618,rt cnet apple pioneer bill fernandez google glass oculus rift look future httptcoa innovation,Neutral
619,hard reach buy suicide squad comics apple store turkey apple dccomics appleturkey,Negative
620,sunday night wanna watch comet online youre apple person head itunes httpstcoxtwfkiahzv,Neutral
621,forget apple better tech stocks buy motley fool aapl httptcodrjdivotxu,Negative
622,typo changing words get together apple,Negative
623,rumors surface apple apple wednesday december httptcohex,Neutral
624,bloombergtv ipod trial consumers options gauna httptcoynfvxksnda via bloombergtv aapl,Neutral
625,expensive apple products failing less months warranty recourse buy junk,Negative
626,rt ratingsnetwork apples pt raised citigroup inc httptco aapl aapl,Neutral
627,rt _emilymahon apple favorite tweet,Positive
628,ive considering suing apple putting shitty album phone,Negative
629,apple caused much pain today,Negative
630,apple inc losing billion edtech market httptcokdleflm aapl,Neutral
631,teamcavuto apple protest show form violence violence destructive httpstcomdv,Neutral
632,hey apple fuck let change stores,Negative
633,even reason apple stop using benzene manufacturing httptconjdyqwfvae,Neutral
634,whoever downgrades iphone obviously doesnt understand extra battery life every morning dead apple,Negative
635,im done piece shit phone doesnt ever send notifications taylor tweets fuck u apple,Negative
636,great piece howardlake apple amp new red app store profits exclusive content go globalfund httptcoxpozptnwsv,Positive
637,got iphone apple,Neutral
638,us government attempts hail mary get apple unlock iphones aapl httptcozgi,Neutral
639,hate apple earphones bad world think good idea p httptco httptcos,Negative
640,rt sfbjnews sfbjeditor things know today including hoarding apple httptcovu,Neutral
641,plus availability wait time update apple apple store verizon sunday december httptcoedymmwiyen,Neutral
642,em_magazine apple showing us also sonar ableton livepropellerhead reasonreaper mixcraft,Neutral
643,phone slow updated ios im angry apple fix,Negative
644,caller id must able blocked appieofflciai products applenws apple apple plus,Negative
645,lol fuck im still buying new one apple httptcoxhqovbnfzk,Negative
646,help wont sync doesnt even give option w latest itunes tried fixes found bueno thoughts apple techsupport,Negative
647,macbook pro nonretina first startup httptco via youtube apple macbook macbookpro startup hipster,Neutral
648,apple please make charger actually last,Negative
649,thestreet apple gets price target boost back strong iphone demand aapl httptcoqtgibddq,Neutral
650,onerepublic apple maximally concentrated brent _,Neutral
651,apple nike blackdollarsmatter open letter companies support lgbtq marriage equalitycivil rights httptcouslrvbbc,Neutral
652,dawned ive probably spent replacing frayed non functioning iphone cables ive spent iphones apple,Negative
653,iphone chargers suck ass apple disappointed,Negative
654,aaplone apples earliest employees describes first time steve jobs httptcoxzglora,Neutral
655,soo many iphones never problem smashed screens months apple u suck balls,Negative
656,okay sound phone messed upi really think youre purpose apple,Negative
657,apple host free coding workshops stores httptcoury,Neutral
658,apple apple corporate raiders selling weak products stop working within weeksampapple gets warranty claiming dampness,Negative
659,details apple inc revealed motley fool aapl httptcordtjnitaus,Neutral
660,apple dont remind tomorrow fing tell updates want install actually,Negative
661,aaplapple heads trial steve jobs witnesshttptcoxcpjptk,Neutral
662,rt typicaistoner rt think apple approve emoji httptcosktkaye,Neutral
663,dinner last night left computer charge fire happened id house apple applecordfire,Negative
664,dear apple itunes wow really made itunes suck please stop updating making worse thank,Negative
665,mark zuckerberg slams tim cook youre alignment customers fb aapl httptcohwdmproigt httptcoj,Negative
666,apple iphone sitting quietly year protective case split open back httptco,Negative
667,hell gbs data phone apple,Negative
668,ok_fatty apple thanks almost burning house,Negative
669,apple market share uk smartphone market driven iphone great third sales made apple stores,Positive
670,strategic steps towards fulltime trading httptcokgb stocks futures forex trader es baba aapl gpro fb eem esignal,Neutral
671,apple inc losing billion edtech market motley fool aapl httptcot,Neutral
672,heres apples next great business aapl httptco investwall aapl,Positive
673,terrifying suck ass apple,Negative
674,gb apple ipad air retina wifi tablet free shipping via ebay httptco cybermonday firstworldproblems,Neutral
675,tyniaaaa_ fuck jcolenc apple,Negative
676,attcares senisbs wireless family share plan one line upgrade killed discount sure mentioned apple preorder page,Negative
677,rt brandfuel promoproduct suppliers carry brandable apple compliant adapters headsaregoingtoroll mfi,Neutral
678,really apple search tool useless nut kicks httptcobepbu,Negative
679,rt apple suck,Negative
680,orwellian vision world apple pay takes chris_skinner httptcoz,Neutral
681,iphone autocorrected believe beiber apple hard guys need give,Negative
682,macbook pro unboxing httptcoybpxf via youtube apple macbook macbookpro startup hipster unboxing,Neutral
683,apple really needs something bullshit cords,Negative
684,apple admits deleted songs purchased competing stores ipods httptco aapl realnetworks,Negative
685,gva lounge sight macs pcs undetermined number ipxs aapl,Neutral
686,washed earphones accident still works thank apple actually something good,Positive
687,apple transitions find iphone web maps httptcoav google apple ios blog httptcopg aapl,Neutral
688,whats core apples new excellent updates phones mobilesecurity mcafee httptco,Positive
689,jmp securities thinks apple inc going time sell motley fool aapl httptcoi,Neutral
690,gotta love genius bar apple thanks help alex apple store suburban square httptcoqx,Positive
691,hour hold apple customer service trying figure messup httptcogcvojtpo,Negative
692,comparison apple maps google maps httptconr longreads webdesign,Neutral
693,hell apple whatsapp glitches httptcoiuoe,Negative
694,apple orders app developer remove useful popular feature httptco via appy_geek apple dictatorship,Neutral
695,first ever onfoodableweekly much discuss episode apple pay habitburger fast casual pizza httptcoga,Neutral
696,new apple ipad air change httptco,Neutral
697,unfiltered quotes apple cofounder steve wozniak aapl woz httptcopq,Neutral
698,heres apples next great business apples primary source revenue httptcogvyzcyhp service company,Neutral
699,aaplheres apple shares reach analysthttptcousxrh,Neutral
700,morgan stanley negative apple tech sector aapl aapl httptcoueh,Neutral
701,quentinnield apple need reinstall apple ipad,Neutral
702,apple store coming brooklyn httptcooucb,Neutral
703,rt weewiii wtf apple yall shit cheap httptcohna,Negative
704,apple really great charger works well,Negative
705,tim_cook apple fix phone,Negative
706,phone apple fucking hate yhis ohone omg im embarrassed,Negative
707,apple product chargers look like rt lunchgod theyre rt naivana_ gotta kidding apple httptco,Negative
708,cyndi lauper cinna big ask phone tv apple plus rockefeller center httptcovzabe,Neutral
709,jakeflem apple wont fix problem good could back might change logic board check apple genius,Negative
710,apple need sort bllshit safari yosemite safari find server apple macbook yosemiteproblems yosemite,Negative
711,apple days gifts,Neutral
712,rt jgreerthaatruth done iphone plus apple sprint giving bread back trash ass phone full fuck ups sprint apple,Negative
713,bring back tap tweet apple twitter,Neutral
714,apple ay cuhz step shit uphave good phone real charger ready february outro,Negative
715,month store visits calls still iphone doesnt receive texts non apple attcares customers fail,Negative
716,survey feedback apple iwatch positioning fashion accessory geekcentric gadget httptcoj httptcory,Neutral
717,aaplpm abe says apple build technical center japanhttptcoaymk,Neutral
718,apple important stock earth httptcopu aapl httptcowjvd,Neutral
719,alharding apple robots reviewing apps,Neutral
720,apple patents system changes position iphone midair httptcophpeb yay,Neutral
721,iphone battery isnt good claim apple,Negative
722,apples pt raised barclays overweight rating httptcokor aapl aapl via ratingsnetwork,Neutral
723,condoseniors said apple needs supply condo dedicated tech many issues iphone imac ipads warrants tech eat well,Negative
724,apple inc heads trial digital music claims httptcor aapl,Neutral
725,robots fabricando iphone ipad pro apple apple watch apple tv el sunday december httptconct,Neutral
726,apple id like see emojis look like,Neutral
727,applewatch billion impact earnings one year aapl httptcoouzbvanyrh,Neutral
728,apple word demographic synonyms attached dictionary application incompetence,Negative
729,apple seems nailing applepay building success amp brand httptcoxrn appleid nomorepaywords,Positive
730,yes apple perfect time lock screen install software update without asking,Negative
731,jobs said apple took pains protect record contracts stevejobs aapl httptcolrtt,Neutral
732,rt dmcgroarty rt metalbanker iphones come whats apple rareearths httptcokumcbkmrev,Neutral
733,happy monday camera fancy apple plus suddenly stopped working weekend instead meme httptcosd,Negative
734,rt thehill apple ceo tim_cook visits whitehouse httptco jmhattem,Neutral
735,used apple pay first time thanks apple,Positive
736,aaplapples eddy cue talks pricefixing ebooks hed agaihttptcouepzpn,Neutral
737,stevewoz apple one got patent apple anti gravity phone includes predictive programing drops httptcodiqty,Neutral
738,ive abandoned itunes im never going back googlemusic much better aapl goog httptcoptxrtvp,Negative
739,black heart emoji apple,Negative
740,rt colddimsum much completely broken shit world fucks sake fuck apple bullshit autocorrects,Negative
741,gone iphone chargers past montht hank apple,Negative
742,fucka de apple,Negative
743,apple hi days ago purchase ringtones non appear phone purchased appear credit card,Negative
744,justinraimondo teamcavuto apple morphing actions police praetorian guards working unaware rich,Neutral
745,nigga phone froze times today amp even tf apple,Negative
746,marxculture appleuk_ thanks ill keep mind tho ive lately unhappy everything apple im moving away,Negative
747,antitrust expert peter carstensen wisconsinlaw discuss apple antitrust case california federal court httptcolclhnqmokf,Neutral
748,apple new ad fucking racist french,Negative
749,almost want back android wont apple torrentapple,Negative
750,facebook app dumbass deleted cant redownload cause says need suck fucking ass apple,Negative
751,apple fix os x please,Negative
752,five apple predictions aapl aapl httptconf,Neutral
753,verrcktes gercht zum apple apple watch wednesday december httptcoscanaaunpe,Neutral
754,apple patents method make iphones fall like cat aapl httptcoe,Neutral
755,apple made tape dispensers staplers would set httptco,Neutral
756,apple cant use component tcp install disc due stupid os update pay bucks redownload,Negative
757,apple yo genius bar shit worst dmv get fuck together,Negative
758,dear apple ive apple user years cant remember bug like current safari fixit httptcoigw,Negative
759,apple ibmbizanalytics mobilefirst enterprise collaboration online game changer doclens httptco httptcou,Neutral
760,apple campus event space costing apple million fitness center priced million ios blog httptcozfctltbyvc aapl,Neutral
761,notice apple apps say get instead free change due alleged misleading labeling httptcoqp,Negative
762,anyone else notice arm hair color fallontimberlake hand models backwards apple iphone gaming spot,Neutral
763,principled truths eddy cue talks fortune apple appeals ebook pricefixing judgment aapl httptcoamktiekys,Neutral
764,aaplipad mini vs sony xperia tablet compact step aside sony apple shttptcolo,Neutral
765,apple yall put apple symbol home button yalls next device,Neutral
766,ayyy fourth phone charger week broke today apple fuck,Negative
767,mhdadon apple def gotta dont even like watches,Positive
768,sammcmanusss apple idk happend though,Neutral
769,bedbathbeyond could gone canal street knockoff cmonman apple must pay lightning cord,Negative
770,apple drop google maps good apple maps rolling httptcolqgu httptcoudz aapl,Neutral
771,rt jpdesloges apple iphone plus retina imac ship times improve time holidays aapl aapl httptcouikw,Positive
772,amy_mc blame apple rubbish memory phone,Negative
773,top expert consensus aapl moderate buy httpstcofvkricdedz nasdaq stocks aapl,Neutral
774,calemcmartin blame apple,Negative
775,love new apple tv spot httptcoixsje,Positive
776,group messages people apple,Neutral
777,apple aapl plans launch mini version dec httptcoqr httptcoeaxugfqkqo via zacksresearch,Neutral
778,abillaut vaynermedia apple thanks much,Positive
779,steve hayman apple national consulting engineer presents app development umich httptcoyinirnoc,Neutral
780,got new growing love bit bulky coming nice feel thanks apple waiting applewatch,Positive
781,dude apple marketing beats great marketing team apple,Positive
782,good grief apple could sucky hold music queue playlist offense ewwwwww johnny cash rap song gross,Negative
783,ggheorghiu mhmcquistons solution offering integration suite something like apples approach,Neutral
784,icymi ipads changing way children learn classroom httptcorbg education tech apple boynecityps,Neutral
785,nothing life fragile apple branded lightning cord apple,Negative
786,photo amazing customer service today apple utc store worked form store several hours httptco,Positive
787,rt wildjazie anyone know theres smartwatch old fashioned clock face grandma needs watch samsung apple mota,Neutral
788,computers slow right making want shoot someone god dam mac shouldnt hav deal apple,Negative
789,aint open till help cant even contact anyone shoot apple u suck multiple digs whack,Negative
790,rt keelzy iphone chargers apple stevejobs wtf notcool,Negative
791,simplyyours_joh scarfacesheed_ jcolenc apple told hes crazy,Neutral
792,apple plans launch iphone mini version aapl aapl httptcodcyvk,Neutral
793,apple know iphone fucked lettering screen goes backtofront,Negative
794,onerepublic apple pleaseeeeeeeeee,Neutral
795,report apples hiring fashionistas help flog watch aapl aapl httptcoocr,Neutral
796,steve wozniak discusses apples early days working steve jobs mac blog httptcour aapl,Neutral
797,stevewoz outback personally excited apple projects like gravity things development even though ipod,Positive
798,smileforgoogle apple yknow time restarted phone got blue screen lol wtf,Negative
799,phone shitty even time freezes apple httptcormlqfx,Negative
800,onerepublic apple ready go coloradolovesyou,Positive
801,ios fucked battery life iphone really starting wonder apple quality control anymore wish,Negative
802,apple apple developing iphone fires laser beams map surroundings monday december httptcowufxrkk,Neutral
803,secret life steve jobs seconds motivation late ceo apple httptcoyn,Neutral
804,apple apple aapl plans launch mini version monday december httptcopqzlbsg,Neutral
805,deet apple im rebel sometimes aka luddite p,Neutral
806,second phone charger broke two weeks apple hate,Negative
807,many issues tf earphone plug working apple u better fix shit free,Negative
808,rt vito_sfam hey apple battery iphone drops like cock see gay porn xvideos main page fix shit,Negative
809,rt tra_hall jh hines staff newly issued apple connected macbook ipad mini txed httptcoyjicjbxh txed,Neutral
810,sethlouey apple ios updates bricked trishs phone seems like apple getting bit rotten,Negative
811,apple reveals best app list elevate threes top list httptcomihpqpozlt via techland,Neutral
812,apple developing iphone fires laser beams map surroundings patent reveals httptcobk aapl hnhd,Neutral
813,aaplapple inc facebook clash neither wronghttptcotkrrs,Neutral
814,loving samsung one kristen bell rt adage watch weekends new tv ads radioshack apple httptcowzes,Neutral
815,looking crazy george street sydney rain apple genius bar httptco,Neutral
816,lena x bonus airmiles apple right airmilesshops,Neutral
817,new meaning soviet jokes whatever produce turns tank russia seeks kalashnikov rival apple httptcoy,Neutral
818,would like apple rep reach resolve issue tim_cook,Neutral
819,paid new charger couldnt b pissed rape apple,Negative
820,apple hey fuck u phone speaker longer works bc,Negative
821,apple train employees deal issues hang customer fucking minutes waiting hold,Negative
822,aaplshould apple amazon ebay portfolio picks httptcomwjzg,Neutral
823,write huge fuck apple letting make reservations get laptop fixed,Negative
824,rt jpdesloges apple boost profits holiday quarter beyond aapl aapl httptco,Neutral
825,mhdadon apple next year,Neutral
826,rt gxldblvnts thanking apple disturb feature,Positive
827,steve jobs clave en juicio contra apple httptcoq httptcomahxn,Neutral
828,next year goal apple free tired bs apple itunessupport,Negative
829,carlabarlacakes mobiggaa apple snapchat,Neutral
830,rt btch dont harry potter emojis please work apple,Negative
831,hey apple build djkevinhayes httptcojtxgscmyhw,Neutral
832,zagkmerrick apple thats twitter oh,Neutral
833,getlolo_ apple explain please httptco,Neutral
834,panic inconsistency overall weirdness controls apple appstore archive previous versions easy downgrade,Negative
835,apple yall please send fuckin phone,Negative
836,lupefiasco sell headphones apple,Neutral
837,promoproduct suppliers carry brandable apple compliant adapters headsaregoingtoroll mfi,Neutral
838,apple httptco nice piece crap youve created great job pay get less crapple fail,Negative
839,walked work seen tf traded bent ass iphone apple yall needa fix shit httptco,Negative
840,apple please educate us,Neutral
841,ng_li apple ill take look im fed ipad well amp truly,Negative
842,apple fibonacci technicals levels intraday update aapl aapl httptco,Neutral
843,apple well done cunts printer dont work since fucking yosemite update pricks,Negative
844,well played apple httptco,Positive
845,apple airplay sucks yosemite,Negative
846,dear apple everlovin heck put navigation arrows itunes store even use software,Negative
847,iphone plus availability wait time update aapl aapl httptcodz,Neutral
848,iphone shortages helping radioshack consumer sales plummet httptcooh aapl,Negative
849,apple really makes hard spend money apps functionality might soon disappear today menu please stop,Negative
850,go wit waiting items copy shit itunes yall pissing apple,Negative
851,apple secretly deleted ipod owners songs downloaded competing music services httptcoglvcdikmwg aapl,Negative
852,apple tentatively approves plans expand reseller network india new stores mac blog httptcotttfqvoiir aapl,Neutral
853,apple ive got one question yall genius decided capitalizing random words good idea bec wasnt good idea,Negative
854,apple going stop producing pieces shit earphones time earphones dont tangle httptcozj,Negative
855,cnbctv analyst worries iphone growth aapl httptcosfashg,Neutral
856,gotta something _irapecouches sydneya apple trash computer keeps freezing amp dumb af upgraded yosemite,Negative
857,fucking horseshit install chrome watch netflix mac hey apple going fix,Negative
858,aapl lawsuit apple deleted songs ipods without telling users according guardian apple deleted httptcousqrgoav,Negative
859,hey apple think u need new product ipster,Negative
860,waiting days far apple approve new app crmsuite next week,Negative
861,december th apple hosting hour code programming workshops via mac httptco,Neutral
862,accessory may supported ok apple tell charger came phone wont work,Negative
863,eliransapir apple ok duly noted,Neutral
864,steve jobs deposition ipod lawsuit could cost apple billion httptcovdxwvxkpe musicbiz musicindustry apple,Negative
865,ipad glitching bad isnt charging wtf apple,Negative
866,apple phone died feel betrayed,Negative
867,best buy cuts apple inc ipad prices boost sales httptcooiayb aapl ipad,Neutral
868,goodbye graphics problems thank apple great customer service httptco,Positive
869,tom automatically capitalized tommy isnt apple need fix autocorrectprobs,Negative
870,jokigenki apple think like cant look right,Negative
